backbone,test_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,best_val_accuracy,best_val_loss
VGG16,0.7266666666666667,0.5126585447263017,0.7280674232309746,0.5176683716965047,0.5172887767969735,0.800000011920929,0.7530685067176819
MobileNetV2,0.7266666666666667,0.5711203921848599,0.7299380468495911,0.5554945054945055,0.7246784363177805,0.753333330154419,0.8216397166252136
InceptionV3,0.7666666666666667,0.5257389011528084,0.7671568146512959,0.5229148082069581,0.5290416141235813,0.7866666913032532,0.7558993101119995
ResNet152V2,0.7866666666666666,0.5175627240143369,0.779163679808841,0.5967261904761905,0.49364438839848673,0.8066666722297668,0.7169620990753174
