epoch,stage,accuracy,loss,val_accuracy,val_loss
1,stage1_frozen_image_encoder,0.3112582862377167,2.2732691764831543,0.46000000834465027,1.315916657447815
2,stage1_frozen_image_encoder,0.36821192502975464,2.092371702194214,0.653333306312561,0.9885697364807129
3,stage1_frozen_image_encoder,0.38410595059394836,1.8655444383621216,0.6733333468437195,1.0256125926971436
4,stage1_frozen_image_encoder,0.4066225290298462,1.8496642112731934,0.699999988079071,0.9226897358894348
5,stage1_frozen_image_encoder,0.43841060996055603,1.7402716875076294,0.699999988079071,0.8906490802764893
6,stage1_frozen_image_encoder,0.40529802441596985,1.871706247329712,0.6866666674613953,0.9232752323150635
7,stage1_frozen_image_encoder,0.47814568877220154,1.6824361085891724,0.746666669845581,0.8280624151229858
8,stage1_frozen_image_encoder,0.5218542814254761,1.568353533744812,0.753333330154419,0.8610267043113708
9,stage1_frozen_image_encoder,0.5165562629699707,1.5109885931015015,0.699999988079071,0.8898676633834839
10,stage1_frozen_image_encoder,0.5258278250694275,1.4905897378921509,0.6866666674613953,0.8399074077606201
11,stage1_frozen_image_encoder,0.5112583041191101,1.460538625717163,0.7400000095367432,0.7792184352874756
12,stage1_frozen_image_encoder,0.5629138946533203,1.3162485361099243,0.6933333277702332,0.941673994064331
13,stage1_frozen_image_encoder,0.5536423921585083,1.2775453329086304,0.7333333492279053,0.7825368046760559
14,stage1_frozen_image_encoder,0.6092715263366699,1.3278874158859253,0.7333333492279053,0.7793098092079163
15,stage1_frozen_image_encoder,0.5682119131088257,1.442277193069458,0.699999988079071,0.8054145574569702
16,stage1_frozen_image_encoder,0.6000000238418579,1.4323970079421997,0.7333333492279053,0.797265887260437
17,stage1_frozen_image_encoder,0.5774834156036377,1.4199308156967163,0.7266666889190674,0.9342556595802307
18,stage1_frozen_image_encoder,0.6238410472869873,1.143426537513733,0.7133333086967468,0.7558993101119995
19,stage1_frozen_image_encoder,0.6331126093864441,1.2651820182800293,0.753333330154419,0.7779101729393005
20,stage1_frozen_image_encoder,0.6145695447921753,1.2012598514556885,0.7666666507720947,0.8666456341743469
21,stage1_frozen_image_encoder,0.6158940196037292,1.1032418012619019,0.746666669845581,0.8549512624740601
22,stage1_frozen_image_encoder,0.6225165724754333,1.2642303705215454,0.753333330154419,0.8403506278991699
23,stage1_frozen_image_encoder,0.6357616186141968,1.1467411518096924,0.7400000095367432,0.7816902995109558
24,stage1_frozen_image_encoder,0.6582781672477722,1.1079515218734741,0.7400000095367432,0.8822599053382874
25,stage1_frozen_image_encoder,0.6331126093864441,1.0706197023391724,0.7733333110809326,0.8385278582572937
26,stage2_top_layer_finetune,0.5801324248313904,1.3966373205184937,0.7733333110809326,0.8162674903869629
27,stage2_top_layer_finetune,0.5960264801979065,1.8066918849945068,0.6466666460037231,1.0968788862228394
28,stage2_top_layer_finetune,0.6158940196037292,1.5662052631378174,0.7200000286102295,0.9480710625648499
29,stage2_top_layer_finetune,0.6675496697425842,1.4643092155456543,0.753333330154419,0.9254668951034546
30,stage2_top_layer_finetune,0.6397351026535034,1.5974488258361816,0.7866666913032532,0.9137457013130188
31,stage2_top_layer_finetune,0.6662251949310303,1.4318156242370605,0.753333330154419,1.0916540622711182
32,stage2_top_layer_finetune,0.6900662183761597,1.6536238193511963,0.7333333492279053,1.2316962480545044
33,stage2_top_layer_finetune,0.6900662183761597,1.9401904344558716,0.6933333277702332,2.519662857055664
