WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,MPV,RDW_CV
-0.004816644825041294,0.00523586617782712,-0.00277574360370636,-0.002880037995055318,0.0003797457320615649,0.02958558313548565,-0.0012998324818909168,0.006069698836654425,-0.0008540239650756121,0.0018049983773380518
-0.0003265438717789948,0.0034560291096568108,-0.0019263529684394598,-0.0010428817477077246,0.0013389576924964786,0.04003792256116867,-0.0014173489762470126,0.00678291218355298,-0.007819976657629013,0.001969605451449752
-7.58963797125034e-05,0.015371088869869709,-0.0037283769343048334,-0.012333002872765064,0.0011083277640864253,0.029788760468363762,-0.0010020042536780238,0.007686530239880085,-3.33581592713017e-05,0.0018430815543979406
-0.0032926241401582956,0.00953272357583046,-0.0032544254790991545,-0.0052634347230196,0.0018333483021706343,0.047848790884017944,-0.0019587527494877577,0.007710130885243416,-0.0013384975027292967,0.0023218300193548203
5.089122714707628e-05,0.006430343259125948,-0.004862981382757425,-0.010579250752925873,0.0011547509348019958,0.029969995841383934,2.5874962375382893e-05,0.0066730123944580555,-0.004061745014041662,0.0023117177188396454
-0.00630333973094821,0.002337357960641384,-0.0031971849966794252,-0.00014435546472668648,0.0007419894682243466,0.03712102398276329,-0.0016696746461093426,0.005615716800093651,0.0019676173105835915,0.0018662235233932734
0.0005798712954856455,0.0003875305410474539,-0.004634933080524206,-0.003539248602464795,0.001454122713766992,0.040916457772254944,-0.0015101953176781535,0.004951918497681618,0.0008367318077944219,0.0023037963546812534
-0.005606698337942362,0.009330753237009048,-0.004025145899504423,-0.009949391707777977,0.0008812698652036488,0.027112619951367378,-0.0005259892204776406,0.006085408851504326,-0.002054015174508095,0.0016083510126918554
0.0003220958751626313,0.011389216408133507,-0.0016548453131690621,-0.010095592588186264,0.001642053248360753,0.0346776619553566,-0.0011113234795629978,0.007481213193386793,-0.00011763782822526991,0.0016370321391150355
-0.0003653322928585112,0.017290024086833,-0.004037382081151009,-0.00816680770367384,0.0009718194487504661,0.037247661501169205,-0.001410359749570489,0.006443917751312256,-4.602995250024833e-05,0.0014567828038707376
-8.231488754972816e-05,0.006831523962318897,-0.004623680841177702,-0.006534738931804895,0.0014720299514010549,0.04667450115084648,-0.001442830078303814,0.005702022463083267,-0.003349086968228221,0.0019838183652609587
-0.0006186206010170281,0.003944434225559235,-0.002565255155786872,-0.007922624237835407,0.0006921726744621992,0.022329630330204964,-0.0012448197230696678,0.004699018318206072,-1.8478076526662335e-05,0.0018485464388504624
-0.0010527439881116152,0.0028726356104016304,-0.0011811988661065698,0.00035034905886277556,0.0022604591213166714,0.04733501002192497,0.0001825762155931443,0.005748308729380369,-0.0029572867788374424,0.0007576715433970094
-0.00037867139326408505,0.008249436505138874,0.000451584899565205,0.004404160194098949,0.0031617283821105957,0.0618952177464962,-0.0009658824419602752,0.009180927649140358,-0.001029682345688343,0.00038053016760386527
-0.00021673939772881567,0.005367761477828026,0.00029618354164995253,0.0028253626078367233,0.002488322090357542,0.05059773847460747,-0.0001900930074043572,0.008293308317661285,-0.0013445968506857753,0.0007774144178256392
-0.0006675373297184706,0.010683499276638031,0.00010520917567191646,0.0018564513884484768,0.003978987690061331,0.07892156392335892,-0.0020285332575440407,0.008831859566271305,-0.001384700066410005,0.0006897369166836143
-0.0007176141371019185,0.00617216108366847,-0.00020925029821228236,0.004211754072457552,0.003857201663777232,0.08143867552280426,-0.0015971555840224028,0.013162940740585327,-9.92698987829499e-05,0.0009649956482462585
-0.0008380345534533262,0.003011970315128565,-0.000406530307373032,0.0015978522133082151,0.002130936598405242,0.045200198888778687,5.9933583543170244e-05,0.005713139660656452,-0.0011988674523308873,0.0006724921404384077
-0.0007110970327630639,0.006571609526872635,0.0002856494393199682,0.004090714268386364,0.0032190277706831694,0.06484968960285187,-0.000918577192351222,0.00797833688557148,1.1280507351330016e-05,0.0007311921799555421
-0.0006150236004032195,0.008820706978440285,-0.0006921821623109281,0.0024949267972260714,0.003124760929495096,0.06211015209555626,-0.000364526582416147,0.008197748102247715,-0.0025595573242753744,0.0008290044497698545
-0.001007762155495584,0.007578243501484394,0.0008497275994159281,0.0021399196702986956,0.0028866592328995466,0.05851420387625694,-0.0005783673259429634,0.0066406321711838245,-0.0013374682748690248,0.00039024214493110776
-0.0007367593934759498,0.005443314090371132,-0.000510559999383986,0.000842637789901346,0.0020711193792521954,0.04101019725203514,0.00013198614760767668,0.005469190888106823,-0.0010255390079692006,0.00043410080252215266
-0.0006335797952488065,0.0031255066860467196,0.0003455632831901312,-0.0013772043166682124,0.0011726419907063246,0.02427739091217518,0.000867400667630136,0.004044899716973305,-0.0022774869576096535,0.00075626524630934
-0.00041971291648223996,0.004191220737993717,0.00045129633508622646,0.003588884137570858,0.0024610129185020924,0.05126171559095383,9.931739623425528e-05,0.006989338435232639,6.231420411495492e-05,0.0009438033448532224
-0.002836491446942091,-0.007145192474126816,0.006976621225476265,0.017382143065333366,0.0024503141175955534,0.06253626197576523,-0.0021540047600865364,0.0029505696147680283,-0.0015827420866116881,0.0005397964268922806
