backbone,test_accuracy,binary_f1,precision_anemia,recall_anemia,macro_f1,weighted_f1,macro_precision,macro_recall,best_val_accuracy,best_val_loss
VGG16,0.8666666666666667,0.8591549295774648,0.9104477611940298,0.8133333333333334,0.866286325548226,0.8662863255482262,0.8708865311994245,0.8666666666666667,0.8133333325386047,0.6400230526924133
MobileNetV2,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8266666666666667,0.8066666722297668,0.5677211284637451
InceptionV3,0.8533333333333334,0.8493150684931506,0.8732394366197183,0.8266666666666667,0.8532289628180039,0.8532289628180039,0.8543412372972009,0.8533333333333333,0.846666693687439,0.4595737159252167
ResNet152V2,0.86,0.8551724137931035,0.8857142857142857,0.8266666666666667,0.8598442714126808,0.8598442714126808,0.8616071428571428,0.86,0.846666693687439,0.44175058603286743
