epoch,stage,accuracy,loss,val_accuracy,val_loss
1,stage1_frozen_image_encoder,0.5523178577423096,0.8970430493354797,0.6466666460037231,0.7531318664550781
2,stage1_frozen_image_encoder,0.6145695447921753,0.8389275074005127,0.6733333468437195,0.7061524391174316
3,stage1_frozen_image_encoder,0.6357616186141968,0.7793857455253601,0.699999988079071,0.6719729900360107
4,stage1_frozen_image_encoder,0.6596026420593262,0.7326197624206543,0.6933333277702332,0.6529557108879089
5,stage1_frozen_image_encoder,0.6476821303367615,0.7457230687141418,0.753333330154419,0.6259922385215759
6,stage1_frozen_image_encoder,0.6741721630096436,0.6979583501815796,0.753333330154419,0.6085843443870544
7,stage1_frozen_image_encoder,0.7099337577819824,0.642065167427063,0.7400000095367432,0.5965845584869385
8,stage1_frozen_image_encoder,0.7258278131484985,0.6373690366744995,0.7599999904632568,0.5839570164680481
9,stage1_frozen_image_encoder,0.7099337577819824,0.6242117285728455,0.7266666889190674,0.5762078762054443
10,stage1_frozen_image_encoder,0.7218543291091919,0.6191194653511047,0.7333333492279053,0.5629141926765442
11,stage1_frozen_image_encoder,0.7271523475646973,0.5903711318969727,0.753333330154419,0.5523656606674194
12,stage1_frozen_image_encoder,0.765562891960144,0.5770828127861023,0.7400000095367432,0.5464725494384766
13,stage1_frozen_image_encoder,0.7509933710098267,0.5522647500038147,0.746666669845581,0.5362163782119751
14,stage1_frozen_image_encoder,0.7668874263763428,0.5424550175666809,0.753333330154419,0.5298880338668823
15,stage1_frozen_image_encoder,0.7841059565544128,0.5325432419776917,0.753333330154419,0.5250253081321716
16,stage1_frozen_image_encoder,0.7894039750099182,0.5108034610748291,0.7400000095367432,0.5259017944335938
17,stage1_frozen_image_encoder,0.7920529842376709,0.542351245880127,0.7400000095367432,0.5246832966804504
18,stage1_frozen_image_encoder,0.7841059565544128,0.5050681233406067,0.746666669845581,0.535902202129364
19,stage1_frozen_image_encoder,0.7801324725151062,0.4963046610355377,0.7666666507720947,0.5041255354881287
20,stage1_frozen_image_encoder,0.8013244867324829,0.5012099742889404,0.7599999904632568,0.5086871385574341
21,stage1_frozen_image_encoder,0.8238410353660583,0.4702899754047394,0.7599999904632568,0.5298920273780823
22,stage1_frozen_image_encoder,0.8013244867324829,0.4968874156475067,0.746666669845581,0.5096172094345093
23,stage1_frozen_image_encoder,0.7947019934654236,0.48722484707832336,0.7599999904632568,0.5003618597984314
24,stage1_frozen_image_encoder,0.8211920261383057,0.44436702132225037,0.7799999713897705,0.5134636759757996
25,stage1_frozen_image_encoder,0.818543016910553,0.4633144438266754,0.7666666507720947,0.5068550109863281
26,stage1_frozen_image_encoder,0.8397350907325745,0.4434821307659149,0.7866666913032532,0.49808603525161743
27,stage1_frozen_image_encoder,0.8291390538215637,0.4360410273075104,0.7799999713897705,0.4923076927661896
28,stage1_frozen_image_encoder,0.8384106159210205,0.42999935150146484,0.7733333110809326,0.5017563104629517
29,stage1_frozen_image_encoder,0.8423840999603271,0.4214206337928772,0.7866666913032532,0.49765995144844055
30,stage1_frozen_image_encoder,0.8291390538215637,0.4513048231601715,0.7400000095367432,0.5059088468551636
31,stage2_top_layer_finetune,0.8132450580596924,0.509371817111969,0.8199999928474426,0.49018070101737976
32,stage2_top_layer_finetune,0.8556291460990906,0.42506325244903564,0.8066666722297668,0.44175058603286743
33,stage2_top_layer_finetune,0.8927152156829834,0.3415595293045044,0.8133333325386047,0.45177769660949707
34,stage2_top_layer_finetune,0.9139072895050049,0.29092758893966675,0.800000011920929,0.530166745185852
35,stage2_top_layer_finetune,0.9231787919998169,0.26049304008483887,0.8199999928474426,0.5691527724266052
36,stage2_top_layer_finetune,0.9112582802772522,0.3020642101764679,0.6866666674613953,1.0869176387786865
37,stage2_top_layer_finetune,0.9072847962379456,0.24413326382637024,0.846666693687439,0.4765082895755768
38,stage2_top_layer_finetune,0.9417218565940857,0.2510746717453003,0.8199999928474426,0.5281361937522888
39,stage2_top_layer_finetune,0.9549669027328491,0.1782035380601883,0.7666666507720947,0.9838672876358032
