epoch,stage,accuracy,loss,val_accuracy,val_loss
1,stage1_frozen_image_encoder,0.565562903881073,1.1781315803527832,0.6399999856948853,0.7339558601379395
2,stage1_frozen_image_encoder,0.5589404106140137,1.0353751182556152,0.699999988079071,0.6484695672988892
3,stage1_frozen_image_encoder,0.6066225171089172,0.9724642634391785,0.7333333492279053,0.6261599659919739
4,stage1_frozen_image_encoder,0.6450331211090088,0.897670567035675,0.746666669845581,0.6085293889045715
5,stage1_frozen_image_encoder,0.6490066051483154,0.9350447654724121,0.7733333110809326,0.5979499220848083
6,stage1_frozen_image_encoder,0.6609271764755249,0.8553182482719421,0.7799999713897705,0.6022340655326843
7,stage1_frozen_image_encoder,0.6543046236038208,0.916307270526886,0.753333330154419,0.5894883275032043
8,stage1_frozen_image_encoder,0.6715231537818909,0.8884636163711548,0.753333330154419,0.5935543179512024
9,stage1_frozen_image_encoder,0.6887417435646057,0.8220219612121582,0.7866666913032532,0.5940689444541931
10,stage1_frozen_image_encoder,0.6847681999206543,0.8078601956367493,0.7599999904632568,0.6212121844291687
11,stage1_frozen_image_encoder,0.7019867300987244,0.7418930530548096,0.7666666507720947,0.5957497358322144
12,stage1_frozen_image_encoder,0.6794701814651489,0.8800649642944336,0.7933333516120911,0.5938360095024109
13,stage1_frozen_image_encoder,0.7139073014259338,0.79509437084198,0.7866666913032532,0.596798837184906
14,stage1_frozen_image_encoder,0.7112582921981812,0.7565062046051025,0.7933333516120911,0.6036354303359985
15,stage2_top_layer_finetune,0.6649006605148315,0.9157229065895081,0.800000011920929,0.5677211284637451
16,stage2_top_layer_finetune,0.704635739326477,0.8357707858085632,0.7933333516120911,0.6080865263938904
17,stage2_top_layer_finetune,0.6807947158813477,1.0485645532608032,0.7799999713897705,0.6339274048805237
18,stage2_top_layer_finetune,0.6834437251091003,1.0539543628692627,0.7066666483879089,0.8097707033157349
19,stage2_top_layer_finetune,0.6927152276039124,0.8268566727638245,0.753333330154419,0.6565962433815002
20,stage2_top_layer_finetune,0.7417218685150146,0.8067736625671387,0.7799999713897705,0.6344389915466309
21,stage2_top_layer_finetune,0.757615864276886,0.6834346652030945,0.7400000095367432,0.7532204389572144
22,stage2_top_layer_finetune,0.7364238500595093,0.8190039992332458,0.8066666722297668,0.5696055889129639
