epoch,stage,accuracy,loss,val_accuracy,val_loss
1,stage1_frozen_image_encoder,0.2781457006931305,2.074314832687378,0.3933333456516266,1.4322148561477661
2,stage1_frozen_image_encoder,0.34039735794067383,1.6934516429901123,0.4866666793823242,1.2280676364898682
3,stage1_frozen_image_encoder,0.3880794644355774,1.5767290592193604,0.5533333420753479,1.1227450370788574
4,stage1_frozen_image_encoder,0.43311259150505066,1.3969337940216064,0.5533333420753479,1.093498945236206
5,stage1_frozen_image_encoder,0.46622517704963684,1.3047245740890503,0.5866666436195374,1.0319733619689941
6,stage1_frozen_image_encoder,0.43841060996055603,1.3362054824829102,0.6133333444595337,1.0830141305923462
7,stage1_frozen_image_encoder,0.4927152395248413,1.335929036140442,0.6399999856948853,0.9590547680854797
8,stage1_frozen_image_encoder,0.5364238619804382,1.1216715574264526,0.6466666460037231,0.9516725540161133
9,stage1_frozen_image_encoder,0.5377483367919922,1.114255428314209,0.6600000262260437,0.8764455318450928
10,stage1_frozen_image_encoder,0.5549668669700623,1.103417992591858,0.6600000262260437,0.8781284689903259
11,stage1_frozen_image_encoder,0.5629138946533203,1.0699301958084106,0.6666666865348816,0.8685324192047119
12,stage1_frozen_image_encoder,0.564238429069519,1.0345641374588013,0.6466666460037231,0.939429521560669
13,stage1_frozen_image_encoder,0.5668874382972717,1.001712441444397,0.6733333468437195,0.8364667296409607
14,stage1_frozen_image_encoder,0.617218554019928,0.9349349141120911,0.6800000071525574,0.8198951482772827
15,stage1_frozen_image_encoder,0.6516556143760681,0.8380496501922607,0.6733333468437195,0.8358467221260071
16,stage1_frozen_image_encoder,0.6158940196037292,0.9652271270751953,0.7133333086967468,0.7832021713256836
17,stage1_frozen_image_encoder,0.6211920380592346,0.9229792952537537,0.6800000071525574,0.8338237404823303
18,stage1_frozen_image_encoder,0.6450331211090088,0.8468616008758545,0.7066666483879089,0.7805566191673279
19,stage1_frozen_image_encoder,0.6556291580200195,0.901932418346405,0.699999988079071,0.8047590851783752
20,stage1_frozen_image_encoder,0.6225165724754333,0.8474944829940796,0.6933333277702332,0.7854227423667908
21,stage1_frozen_image_encoder,0.6728476881980896,0.893168032169342,0.6733333468437195,0.7990939617156982
22,stage1_frozen_image_encoder,0.6807947158813477,0.7704871892929077,0.6800000071525574,0.7864421010017395
23,stage1_frozen_image_encoder,0.6794701814651489,0.8173724412918091,0.7266666889190674,0.7398689985275269
24,stage1_frozen_image_encoder,0.6635761857032776,0.7818340063095093,0.6733333468437195,0.8348079323768616
25,stage1_frozen_image_encoder,0.6675496697425842,0.7586608529090881,0.7200000286102295,0.738035261631012
26,stage1_frozen_image_encoder,0.7033112645149231,0.7401663064956665,0.7133333086967468,0.7465152144432068
27,stage1_frozen_image_encoder,0.7086092829704285,0.7296140193939209,0.6733333468437195,0.8397027254104614
28,stage1_frozen_image_encoder,0.6834437251091003,0.7225961685180664,0.7200000286102295,0.7399435639381409
29,stage1_frozen_image_encoder,0.695364236831665,0.7179138660430908,0.699999988079071,0.7794061899185181
30,stage1_frozen_image_encoder,0.7006622552871704,0.7025520205497742,0.7066666483879089,0.7610863447189331
31,stage2_top_layer_finetune,0.6940397620201111,0.8251622319221497,0.7200000286102295,0.7169620990753174
32,stage2_top_layer_finetune,0.7165563106536865,0.8521835207939148,0.699999988079071,0.8967106938362122
33,stage2_top_layer_finetune,0.7258278131484985,0.837171196937561,0.753333330154419,0.7254073619842529
34,stage2_top_layer_finetune,0.7443708777427673,0.6898007988929749,0.699999988079071,0.8337470889091492
35,stage2_top_layer_finetune,0.7841059565544128,0.5515711307525635,0.8066666722297668,0.7522894144058228
36,stage2_top_layer_finetune,0.7788079380989075,0.578439474105835,0.753333330154419,0.7227076888084412
37,stage2_top_layer_finetune,0.7920529842376709,0.6372483968734741,0.7133333086967468,0.9177789092063904
38,stage2_top_layer_finetune,0.7986754775047302,0.6301136016845703,0.7666666507720947,0.9464408159255981
