epoch,stage,accuracy,loss,val_accuracy,val_loss
1,stage1_frozen_image_encoder,0.45369142293930054,1.1709719896316528,0.6478174328804016,0.9330357909202576
2,stage1_frozen_image_encoder,0.6107426881790161,0.8269879817962646,0.7361111044883728,0.6840521693229675
3,stage1_frozen_image_encoder,0.6779398918151855,0.6736692786216736,0.752480149269104,0.6288701891899109
4,stage1_frozen_image_encoder,0.7423740029335022,0.572529673576355,0.805059552192688,0.535542368888855
5,stage1_frozen_image_encoder,0.7849248647689819,0.4837542474269867,0.8095238208770752,0.5084033012390137
6,stage1_frozen_image_encoder,0.7971927523612976,0.4394214153289795,0.8090277910232544,0.48965129256248474
7,stage1_frozen_image_encoder,0.8122236728668213,0.39833757281303406,0.8234127163887024,0.48711422085762024
8,stage1_frozen_image_encoder,0.8248231410980225,0.3727024793624878,0.8144841194152832,0.49062100052833557
9,stage1_frozen_image_encoder,0.8414013981819153,0.3407622277736664,0.8516865372657776,0.420524001121521
10,stage1_frozen_image_encoder,0.8479222059249878,0.32425209879875183,0.84375,0.4433276355266571
11,stage1_frozen_image_encoder,0.857537567615509,0.3062278628349304,0.8526785969734192,0.41853147745132446
12,stage1_frozen_image_encoder,0.863726794719696,0.2918223440647125,0.8288690447807312,0.47267162799835205
13,stage1_frozen_image_encoder,0.8743368983268738,0.27112650871276855,0.8645833134651184,0.4121112525463104
14,stage1_frozen_image_encoder,0.8840627670288086,0.25298866629600525,0.8665674328804016,0.3999022841453552
15,stage1_frozen_image_encoder,0.8858311176300049,0.24990415573120117,0.8526785969734192,0.43279123306274414
16,stage1_frozen_image_encoder,0.895004391670227,0.23705002665519714,0.8660714030265808,0.40603873133659363
17,stage1_frozen_image_encoder,0.8947833776473999,0.2264704555273056,0.8640872836112976,0.4329330027103424
18,stage1_frozen_image_encoder,0.9008620977401733,0.21606899797916412,0.8665674328804016,0.42981788516044617
19,stage1_frozen_image_encoder,0.9049513936042786,0.2081868201494217,0.8695436716079712,0.431180477142334
20,stage1_frozen_image_encoder,0.9110300540924072,0.2014593631029129,0.8779761791229248,0.41246283054351807
21,stage1_frozen_image_encoder,0.915229856967926,0.19187788665294647,0.8710317611694336,0.4478537142276764
22,stage2_top_layer_finetune,0.871573805809021,0.28333380818367004,0.836309552192688,0.4759928286075592
23,stage2_top_layer_finetune,0.900751531124115,0.23193535208702087,0.879960298538208,0.400294691324234
24,stage2_top_layer_finetune,0.9155614376068115,0.20177239179611206,0.8710317611694336,0.40169110894203186
25,stage2_top_layer_finetune,0.9283819794654846,0.1819823682308197,0.8883928656578064,0.40224891901016235
26,stage2_top_layer_finetune,0.9328028559684753,0.1780250072479248,0.886904776096344,0.4153096079826355
27,stage2_top_layer_finetune,0.9487179517745972,0.14718732237815857,0.8829365372657776,0.4609449803829193
28,stage2_top_layer_finetune,0.9582228064537048,0.1321522295475006,0.886904776096344,0.4339969754219055
29,stage2_top_layer_finetune,0.9582228064537048,0.13130034506320953,0.8973214030265808,0.38472336530685425
30,stage2_top_layer_finetune,0.9636383652687073,0.12117460370063782,0.9027777910232544,0.42181694507598877
31,stage2_top_layer_finetune,0.9656277894973755,0.12360776960849762,0.8993055820465088,0.4407710134983063
